Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
snoc (build n)/1000/[] (++ [x]),2.6329174715272506e-3,2.628052413515283e-3,2.638901836174031e-3,1.839491539590909e-5,1.3284540250806238e-5,2.6027528632521173e-5
snoc (build n)/1000/Vector snoc,2.6450177582419443e-4,2.635958773193424e-4,2.655352599194752e-4,3.3227961802109975e-6,2.6242872213532328e-6,4.435776631095856e-6
snoc (build n)/1000/PVector snoc,1.93274771428121e-5,1.923312443204881e-5,1.9442988271998892e-5,3.587668162028905e-7,2.8425633282850613e-7,4.802011035601277e-7
snoc (build n)/1000/Seq |>,1.3941365415057257e-5,1.3907218501503792e-5,1.4015715230485249e-5,1.6031020477541542e-7,9.857860914820489e-8,2.696644147411536e-7
fromList/1000/Vector,4.064101594350149e-6,4.05505157550481e-6,4.07671596455636e-6,3.549835448585318e-8,2.8236285124782138e-8,4.7999165153643374e-8
fromList/1000/PVector,7.251785777948008e-6,7.235621247002743e-6,7.276470162296311e-6,6.565383022432787e-8,4.664071667471863e-8,1.0139464708788466e-7
fromList/1000/Seq,6.0414139932710104e-6,6.024911645779368e-6,6.060814656835873e-6,6.011461393732502e-8,4.481903868033402e-8,8.244407233180261e-8
index (middle)/1000/[] (!!),6.221367542177276e-7,6.215193577124268e-7,6.231110413099818e-7,2.529095549070503e-9,1.6977793529734902e-9,3.3477192501093023e-9
index (middle)/1000/Vector,8.249782530596151e-9,8.232346243529784e-9,8.272869372133553e-9,6.565580406599536e-11,4.686800426656152e-11,9.483440775242466e-11
index (middle)/1000/PVector,1.118072056353971e-8,1.1137345407582162e-8,1.1335424044916026e-8,2.333509008959549e-10,1.0261444531500632e-10,4.905695190191371e-10
index (middle)/1000/Seq,4.47978534559286e-8,4.470037651465119e-8,4.493746253461444e-8,4.008831364704649e-10,2.935392382356735e-10,6.241240004809558e-10
head/1000/[],7.97741617528946e-9,7.965447200304504e-9,7.992783653583307e-9,4.350214674895847e-11,3.3123419098287456e-11,6.216064747011877e-11
head/1000/Vector,7.716559112591782e-9,7.715077187762825e-9,7.718559454252068e-9,5.532495811982123e-12,4.2392060587632364e-12,6.9008954742313424e-12
head/1000/PVector,1.0269339986263101e-8,1.0255305981249766e-8,1.0288103564031921e-8,5.3179608827847175e-11,4.321762781918173e-11,6.787916165720455e-11
head/1000/Seq,1.0227255033532807e-8,1.0221380988852735e-8,1.0235049085217905e-8,2.1808491456740604e-11,1.5816763867861968e-11,2.9521661092712685e-11
last/1000/[],1.2792857474142875e-6,1.2788708052042783e-6,1.2797529916445146e-6,1.4539703466737246e-9,1.1767040583434883e-9,1.8988747897742278e-9
last/1000/Vector,7.958413776165921e-9,7.955700542213785e-9,7.961647473416834e-9,1.0076928654207695e-11,8.30736239684604e-12,1.4502614231298999e-11
last/1000/PVector,8.189801822511129e-9,8.183187722711087e-9,8.195227534006607e-9,2.0091726234267815e-11,1.62717181312808e-11,2.6417953916690455e-11
last/1000/Seq,9.954417211415926e-9,9.932901994738303e-9,1.0000247571394966e-8,9.754694311804324e-11,6.272729260687389e-11,1.442455033112964e-10
"update (single, middle, nf)/1000/Vector",1.3351465234924984e-6,1.3343643356110195e-6,1.336090912875208e-6,2.8885929642229376e-9,2.288959660500291e-9,3.618929846507856e-9
"update (single, middle, nf)/1000/PVector",4.840625468052146e-6,4.838223424325411e-6,4.842961113871886e-6,8.051097811519556e-9,6.6708035051832014e-9,9.99639087857095e-9
"update (single, middle, nf)/1000/Seq",3.672360087640843e-6,3.6653978055445e-6,3.6798868283620378e-6,2.384967554260835e-8,2.0173446976767883e-8,2.9293861210511735e-8
"update (single, middle, whnf)/1000/Vector",3.954360348664532e-7,3.952543673802797e-7,3.956962747929262e-7,7.066860334023889e-10,4.697768638913776e-10,1.1060358379707652e-9
"update (single, middle, whnf)/1000/PVector",3.26836094595314e-8,3.26737299362324e-8,3.269866427266894e-8,4.066382751851473e-11,2.7648475976797744e-11,6.03475298193215e-11
"update (single, middle, whnf)/1000/Seq",6.592274381660565e-8,6.582807942427763e-8,6.600636932973057e-8,3.005954692652016e-10,2.5636190074016826e-10,3.452675734339307e-10
foldl' (+)/1000/[],1.3504531093390506e-6,1.349612131003948e-6,1.351286499430787e-6,2.9640731471900566e-9,2.5047757485491843e-9,3.5192139601175214e-9
