Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
snoc (build n)/100/[] (++ [x]),2.0901198566547914e-5,2.0718759250691212e-5,2.1444437979881743e-5,1.0177281033623097e-6,4.324489551896223e-7,1.9441794766252675e-6
snoc (build n)/100/Vector snoc,3.953030737341562e-6,3.912775514414437e-6,4.0096070575280465e-6,1.5519231942290145e-7,1.1244690922303488e-7,1.9172698052815648e-7
snoc (build n)/100/PVector snoc,1.8274535812085261e-6,1.8262180463985947e-6,1.8288998250208606e-6,4.267624029451894e-9,3.4298281195908473e-9,6.077519155032026e-9
snoc (build n)/100/Seq |>,1.2243492427419574e-6,1.2199331579054046e-6,1.2402323831854105e-6,2.4654526442156482e-8,8.35859331642194e-9,4.968312455323057e-8
snoc (build n)/1000/[] (++ [x]),2.8459840164922873e-3,2.8395952704702203e-3,2.8722962950971332e-3,3.605893245016627e-5,1.2822233703963391e-5,7.715770036749599e-5
snoc (build n)/1000/Vector snoc,2.880033327461337e-4,2.8655666337557895e-4,2.8957398685000016e-4,5.049101682406836e-6,4.161131894640437e-6,6.351343912969422e-6
snoc (build n)/1000/PVector snoc,1.7745833398446368e-5,1.7691305503216932e-5,1.7825764651488923e-5,2.222862343066368e-7,1.4539684774552387e-7,3.126812347995138e-7
snoc (build n)/1000/Seq |>,1.3606464922272454e-5,1.3546772232646952e-5,1.366827281732217e-5,2.114067009002625e-7,1.7920931941350231e-7,2.6042004680407134e-7
snoc (build n)/10000/[] (++ [x]),0.561435550812746,0.5605070975004764,0.5627393401875338,1.264009553911316e-3,3.8802599988230213e-4,1.6961172481060312e-3
snoc (build n)/10000/Vector snoc,3.3285342227113456e-2,3.30259450655177e-2,3.352678067041215e-2,5.141068339039234e-4,4.1785038865528145e-4,6.211582422906262e-4
snoc (build n)/10000/PVector snoc,1.9346011349022536e-4,1.9318019031046006e-4,1.940242601728442e-4,1.289174886885538e-6,7.2188330379566e-7,2.357367823921997e-6
snoc (build n)/10000/Seq |>,1.5005059237089947e-4,1.499051849328902e-4,1.503159208745009e-4,6.779107275303782e-7,2.795058539944756e-7,1.1265205201650143e-6
fromList/100/Vector,4.436592978916761e-7,4.431867862699087e-7,4.444177441175895e-7,1.9896906612803673e-9,1.2814207694711191e-9,3.00100303284839e-9
fromList/100/PVector,8.735854976742229e-7,8.557206486563659e-7,9.225033703636561e-7,8.888614230733103e-8,2.4977345473269462e-8,1.727341437380748e-7
fromList/100/Seq,5.029538229969763e-7,5.020666659840325e-7,5.041672589669868e-7,3.262639778858331e-9,2.5302666241291525e-9,4.674469211548056e-9
fromList/1000/Vector,4.323983790567669e-6,4.265567757918386e-6,4.453832990622809e-6,2.5809038684490057e-7,1.0745165709726188e-7,4.5810834939400374e-7
fromList/1000/PVector,7.100699634498269e-6,7.085664515203305e-6,7.1335621849993e-6,6.761808071886882e-8,3.702401823573377e-8,1.1531818432524389e-7
fromList/1000/Seq,5.698450692523482e-6,5.642202841366146e-6,5.785190674843069e-6,2.191632091245961e-7,1.581886031551251e-7,3.107046511293129e-7
fromList/10000/Vector,5.414612675061706e-5,5.336524838441031e-5,5.5282533885195524e-5,3.3004305037730065e-6,2.1721347020609383e-6,5.082397850537252e-6
fromList/10000/PVector,7.60753921639541e-5,7.581273319040891e-5,7.638430629664693e-5,9.473424522889855e-7,7.729614584349726e-7,1.138524343537271e-6
fromList/10000/Seq,5.6470599711527827e-5,5.636868330141783e-5,5.67248441788007e-5,5.24570253129249e-7,2.405008670551869e-7,1.016691608575733e-6
