Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
snoc (build n)/1000/[] (++ [x]),2.7229444814229997e-3,2.6988366377936096e-3,2.749971667056099e-3,7.940878098447073e-5,6.566936466806232e-5,9.778859208204198e-5
snoc (build n)/1000/Vector snoc,3.3174241793194686e-4,3.235145224671802e-4,3.394614695655116e-4,2.8038249927006118e-5,2.5282636158449435e-5,3.0777173741626324e-5
snoc (build n)/1000/PVector snoc,1.835164457830592e-5,1.8340760282459792e-5,1.836654743416784e-5,4.167156334424259e-8,3.191272289595476e-8,6.022979411218281e-8
snoc (build n)/1000/Seq |>,1.3574202885775835e-5,1.3568965292578744e-5,1.3579506607693059e-5,1.9018535695774466e-8,1.5903216503299453e-8,2.3454481744876834e-8
fromList/1000/Vector,4.226021362548615e-6,4.221334613484853e-6,4.229726919683908e-6,1.3434609778457905e-8,1.063782477612353e-8,1.77270783295267e-8
fromList/1000/PVector,7.5298582348394186e-6,7.527265127985606e-6,7.532872686033399e-6,9.454712585770593e-9,6.099397193185488e-9,1.3824462871085535e-8
fromList/1000/Seq,5.546028248910137e-6,5.543892993680915e-6,5.54816866471159e-6,6.846589246146306e-9,5.593006465791478e-9,8.743679161447369e-9
index (middle)/1000/[] (!!),6.189942193641663e-7,6.189356029295992e-7,6.190796928295088e-7,2.2828120152292053e-10,1.7167231797480252e-10,2.9986272715646893e-10
index (middle)/1000/Vector,8.212809473009756e-9,8.208002728621168e-9,8.218264910029664e-9,1.7469594215499275e-11,1.3282822248049378e-11,2.3731387109870453e-11
index (middle)/1000/PVector,1.0985263055730682e-8,1.096022857805541e-8,1.1023276261826496e-8,9.89814741141646e-11,7.822328928768081e-11,1.3900044642555953e-10
index (middle)/1000/Seq,4.230695746998414e-8,4.2180865050181037e-8,4.243886824693144e-8,4.4012970201197143e-10,3.833286206825006e-10,5.200091072652037e-10
head/1000/[],7.939268965244081e-9,7.938082943561857e-9,7.9416861621632e-9,5.3345049754482224e-12,2.514550998236102e-12,9.287681672423694e-12
head/1000/Vector,7.94592498154504e-9,7.944334387076496e-9,7.947645619770471e-9,5.367018616912338e-12,4.251843911005327e-12,7.007085972336971e-12
head/1000/PVector,1.0698785119199729e-8,1.0674995898908573e-8,1.0723859629939924e-8,8.763410016059952e-11,6.98442780743403e-11,1.178392559484004e-10
head/1000/Seq,1.0693729288975371e-8,1.0689905396901532e-8,1.0703783326577738e-8,1.9234954546346443e-11,7.435656610930465e-12,3.272845078613331e-11
